student_id,ai_usage_frequency,linear_algebra_score,ideology_score,probability_score,calculus_¢ñ_score,calculus_¢ò_score,Microelectronic_devices_score,physics_¢ñ_score,physics_¢ò_score,signal_and_system_score,modern_history_score,overall_gpa
2022020906021,0.62,90,92,73,96,88,82,88,84,84,74,3.75
2022020915004,0.26,95,87,78,95,83,70,90,81,76,86,3.62
2022020916012,0.45,92,79,83,92,87,73,95,85,76,85,3.71
2022020916024,0.66,78,80,87,85,89,70,93,85,93,85,3.73
2022020916029,0.03,83,83,77,90,81,71,78,82,86,85,3.59
2022020915010,0.48,88,75,88,91,90,71,88,80,93,81,3.69
2022020915029,0.49,82,86,73,85,74,73,81,79,78,84,3.44
2022020904004,0.28,80,84,74,88,85,75,90,82,95,80,3.67
2022140903026,0.01,82,86,87,93,78,67,89,79,85,76,3.55
2022020914020,0.93,74,73,84,93,93,74,91,82,91,86,3.66
2022020909001,0.29,87,85,77,85,85,79,82,77,89,82,3.73
2022020901021,0.97,68,67,90,92,90,76,90,80,92,81,3.54
2022020902017,0.36,96,78,87,92,88,60,94,84,89,83,3.64
2022020911010,0.46,83,90,80,87,80,69,86,69,86,77,3.49
2022020912023,0.59,79,80,90,92,88,69,94,86,92,74,3.63
2022020907007,0.59,87,85,81,88,84,72,88,80,87,78,3.7
2022020910024,0.128,84,93,80,91,90,81,86,85,66,87,3.71
2022020912001,0.63,98,86,75,81,92,63,93,91,81,73,3.47
2022020911026,0.76,69,80,83,82,84,75,88,74,85,75,3.45
2022020916022,0.41,63,75,79,85,84,73,91,81,86,77,3.43
2022150903015,0.4,87,89,72,94,72,69,80,84,78,93,3.43
2022020904017,0.33,80,84,80,92,70,77,83,73,91,78,3.45
2022020910015,0.16,66,82,86,82,96,56,81,78,92,91,3.2
2022020913016,0.06,79,85,85,88,90,75,83,82,85,75,3.69
2022020916007,0.72,70,76,76,85,66,77,86,89,93,85,3.42
2022020901005,0.95,75,81,75,93,87,72,91,84,90,80,3.6
2022020911023,0.18,86,84,83,87,86,66,90,85,83,77,3.67
2022020905016,0.38,82,82,76,90,83,73,94,86,80,83,3.65
2022020908015,0.31,76,76,75,86,87,60,94,88,77,81,3.38
2022020915023,0.07,76,77,83,90,84,70,83,70,86,80,3.46
2022020906007,0.03,84,86,85,73,89,62,82,77,87,79,3.4
2022020905018,0.03,77,79,78,96,73,60,90,74,90,82,3.28
2022020916020,0.84,76,88,76,86,80,74,85,76,80,85,3.53
2022020915014,0.79,71,83,69,82,77,65,80,73,77,80,3.08
2022020915030,0.84,69,80,76,87,83,60,88,83,84,87,3.41
2022020916018,0.33,83,81,72,88,69,66,89,79,85,83,3.38
2022020901011,0.27,72,69,78,90,92,60,95,83,69,80,3.21
2022040903007,0.37,90,82,67,85,83,81,78,74,86,73,3.48
2022040905019,0.68,79,90,72,79,61,81,78,64,80,82,3.09
2022020903026,0.4,70,77,74,93,82,68,80,73,81,80,3.24
2022020901010,0.98,65,82,80,91,79,63,89,75,86,80,3.3
2022020909029,0.22,85,92,72,90,88,67,79,74,73,80,3.36
2022020904019,0.23,66,88,82,91,77,52,87,77,75,83,3.06
2022020908019,0.06,84,93,73,85,81,60,87,79,74,77,3.33
2022020905014,0.23,87,91,72,82,68,71,80,74,72,81,3.18
2022150901023,0.97,79,91,69,86,72,62,84,80,72,90,3.22
2022020906023,0.89,79,92,76,82,83,69,84,79,76,76,3.39
2022030903022,0.42,81,85,72,89,75,70,74,71,87,95,3.32
2022020913027,0.76,62,91,70,92,70,71,82,53,78,77,2.8
2022020913029,0.46,68,89,68,76,67,75,92,82,62,77,2.93
2022020906013,0.28,75,82,73,86,78,60,83,72,80,81,3.2
2022020904014,0.05,91,87,70,84,79,60,82,67,63,81,3.06
2022020915019,0.37,61,82,78,82,77,60,81,78,79,82,3.09
2022020902020,0.14,66,70,73,87,84,77,83,60,80,78,3.16
2022020902019,0.68,72,83,71,78,70,51,85,76,68,82,2.75
2022020906011,0.16,79,78,71,84,90,53,81,72,85,73,3.05
2022060904004,0.99,85,83,70,98,63,35,85,68,81,81,2.93
2022020915022,0.05,67,89,70,85,78,55,82,76,62,83,2.81
2022020913001,0.74,72,86,77,78,75,69,76,67,93,75,3.07
2022020904021,0.57,77,82,60,78,67,60,75,70,81,82,2.81
2022020910021,0.31,77,74,82,88,80,60,72,81,78,71,3.1
2022020914003,0.41,63,77,60,86,69,64,79,61,66,82,2.62
2022020906014,0.68,61,87,73,77,64,60,77,73,67,70,2.53
2022020911009,0.47,75,81,63,84,66,36,87,64,69,77,2.6
2022020903024,0.06,71,76,80,79,73,60,83,72,67,73,2.84
2022020904020,0.28,70,80,72,91,75,56,78,80,63,77,2.74
2022020911001,0.13,75,84,80,89,63,53,83,65,91,73,2.84
2022020909028,0.94,74,80,87,90,95,76,92,81,59,74,3.22
2022020906008,0.26,66,82,71,79,61,75,67,69,72,74,2.64
2022020903009,0.8,47,79,73,77,63,65,62,62,75,75,2.25
2022020910023,0.95,73,81,61,87,79,52,78,61,71,75,2.62
2022020911015,0.48,80,84,64,76,62,26,76,48,71,76,2.25
2022020909030,0.25,60,70,63,64,64,60,61,35,50,60,1.41
2022020903027,0.48,61,68,62,63,62,64,61,32,54,71,1.51
2022020913003,0.58,46,81,53,49,52,60,61,44,73,69,1.1
2022020915001,0.97,60,72,60,63,61,63,61,32,50,70,1.48
2022020904024,0.49,69,80,51,87,66,19,74,43,52,80,1.89
2022020911028,0.38,60,78,34,62,60,62,31,34,52,61,1.1
2022020910031,0.01,63,79,61,60,60,34,62,61,53,62,1.39
2022020905012,0,63,82,19,83,56,19,75,42,0,77,1.57
2022020916003,0.37,18,61,61,62,62,63,34,32,47,62,1.02
2022020914001,0.06,60,60,62,33,60,40,31,29,45,61,0.69
2022340101012,0.53,98 ,94 ,98 ,97 ,98 ,96 ,96 ,99 ,98 ,87 ,4
2022340105030,0.04,98 ,92 ,99 ,100 ,99 ,99 ,97 ,99 ,96 ,91 ,4
2022340104030,0.08,99 ,92 ,100 ,96 ,98 ,98 ,99 ,98 ,94 ,86 ,4
2022340104009,0.16,92 ,91 ,96 ,96 ,96 ,94 ,95 ,93 ,99 ,90 ,4
2022340101026,0.04,97 ,91 ,95 ,95 ,97 ,97 ,96 ,96 ,91 ,91 ,4
2022340102012,0.24,96 ,89 ,92 ,98 ,98 ,98 ,98 ,95 ,99 ,89 ,4
2022340103012,0.37,97 ,85 ,91 ,95 ,96 ,98 ,99 ,94 ,89 ,87 ,4
2020340103023,0.23,89 ,93 ,94 ,96 ,98 ,94 ,93 ,92 ,97 ,88 ,4
2022340105018,0.14,95 ,90 ,93 ,97 ,98 ,96 ,97 ,97 ,99 ,89 ,4
2022340101022,0.44,97 ,86 ,97 ,97 ,95 ,99 ,95 ,92 ,92 ,89 ,4
2022340104033,0.86,90 ,89 ,96 ,96 ,99 ,94 ,99 ,93 ,98 ,91 ,4
2022340106019,0.43,94 ,89 ,88 ,95 ,96 ,88 ,95 ,90 ,99 ,94 ,4
2022340102020,0.26,87 ,91 ,92 ,95 ,91 ,98 ,92 ,93 ,96 ,89 ,4
2022340101020,0.81,97 ,90 ,93 ,96 ,97 ,97 ,97 ,93 ,91 ,86 ,4
2022340105024,0.56,95 ,85 ,99 ,88 ,95 ,99 ,93 ,92 ,96 ,87 ,4
2022340107005,0.85,90 ,89 ,92 ,95 ,97 ,90 ,92 ,92 ,96 ,91 ,4
2022340101018,0.23,87 ,94 ,91 ,95 ,98 ,91 ,87 ,85 ,98 ,86 ,4
2022340104032,0.82,82 ,86 ,93 ,98 ,92 ,88 ,92 ,98 ,93 ,86 ,3.97
2022340104011,0.08,98 ,88 ,83 ,97 ,97 ,94 ,99 ,89 ,96 ,82 ,3.96
2022340104006,0.7,86 ,82 ,94 ,96 ,96 ,87 ,95 ,91 ,92 ,83 ,3.96
2022340107029,0.3,82 ,87 ,95 ,86 ,87 ,97 ,94 ,93 ,92 ,89 ,3.97
2022340106031,0.39,78 ,83 ,86 ,90 ,96 ,92 ,98 ,88 ,98 ,88 ,3.92
2022340103023,0.33,94 ,89 ,89 ,93 ,98 ,90 ,95 ,94 ,98 ,83 ,3.98
2022340103025,0.78,95 ,87 ,95 ,96 ,99 ,92 ,95 ,96 ,97 ,88 ,4
2022340103017,0.38,97 ,95 ,87 ,97 ,96 ,86 ,93 ,89 ,97 ,82 ,3.97
2022340101014,0.53,83 ,80 ,92 ,93 ,86 ,96 ,97 ,89 ,98 ,82 ,3.92
2022340102026,0.33,92 ,85 ,82 ,91 ,94 ,94 ,94 ,89 ,92 ,90 ,3.98
2022340108001,0.17,85 ,86 ,90 ,93 ,82 ,95 ,92 ,92 ,89 ,88 ,3.97
2022340103003,0.08,88 ,91 ,93 ,90 ,77 ,93 ,93 ,89 ,95 ,87 ,3.91
2022340108030,0.71,80 ,84 ,90 ,92 ,87 ,93 ,89 ,88 ,93 ,93 ,3.95
2022340106024,0.33,90 ,83 ,91 ,93 ,96 ,89 ,96 ,93 ,97 ,86 ,3.99
2022340108033,0.7,88 ,87 ,89 ,95 ,86 ,92 ,97 ,88 ,96 ,88 ,4
2022340102008,0.23,91 ,89 ,89 ,92 ,92 ,87 ,90 ,86 ,86 ,83 ,3.98
2022340105031,0.94,96 ,78 ,93 ,98 ,96 ,94 ,95 ,91 ,93 ,84 ,3.94
2022340104016,0.38,95 ,87 ,91 ,94 ,92 ,92 ,90 ,91 ,85 ,93 ,4
2022340105016,0.59,88 ,78 ,93 ,93 ,98 ,89 ,93 ,88 ,95 ,86 ,3.95
2022340103007,0.87,86 ,85 ,87 ,96 ,93 ,95 ,90 ,89 ,95 ,79 ,3.95
2022340106023,0.07,88 ,89 ,89 ,91 ,93 ,88 ,89 ,82 ,97 ,88 ,3.97
2022340108034,0.67,75 ,91 ,90 ,93 ,92 ,82 ,89 ,88 ,90 ,90 ,3.88
2022340102031,0.18,91 ,87 ,94 ,96 ,91 ,83 ,96 ,81 ,96 ,85 ,3.94
2022340102016,0.1,92 ,97 ,91 ,95 ,89 ,73 ,94 ,90 ,89 ,87 ,3.86
2022340107033,0.08,81 ,85 ,93 ,95 ,95 ,93 ,94 ,91 ,89 ,85 ,3.96
2022340103019,0.91,96 ,90 ,89 ,94 ,92 ,92 ,95 ,91 ,87 ,80 ,3.95
2022340101007,0.49,87 ,85 ,90 ,94 ,93 ,86 ,96 ,91 ,92 ,83 ,3.98
2022340104012,0.62,97 ,87 ,85 ,95 ,97 ,87 ,90 ,86 ,84 ,80 ,3.94
2022340106032,0.46,88 ,92 ,84 ,95 ,96 ,81 ,90 ,92 ,84 ,90 ,3.94
2022340108025,0.61,73 ,87 ,85 ,92 ,90 ,92 ,90 ,83 ,85 ,91 ,3.87
2022340103015,0.03,82 ,73 ,88 ,87 ,92 ,90 ,93 ,85 ,96 ,91 ,3.89
2022340105001,0.5,83 ,91 ,89 ,95 ,89 ,92 ,95 ,90 ,83 ,89 ,3.96
2022340103027,0.61,89 ,79 ,83 ,90 ,86 ,93 ,85 ,84 ,95 ,86 ,3.93
2022340102018,0.25,84 ,89 ,83 ,95 ,89 ,86 ,96 ,88 ,89 ,85 ,3.98
2022340104017,0.6,93 ,87 ,89 ,95 ,90 ,89 ,87 ,90 ,91 ,85 ,4
2022340103010,0.73,87 ,91 ,85 ,91 ,89 ,83 ,89 ,90 ,87 ,90 ,3.98
2022340108010,0.39,79 ,86 ,86 ,85 ,89 ,86 ,88 ,86 ,87 ,86 ,3.95
2022340108008,0.12,76 ,91 ,85 ,92 ,84 ,77 ,89 ,82 ,93 ,88 ,3.79
2022340108027,0.2,81 ,88 ,87 ,89 ,81 ,86 ,95 ,91 ,89 ,86 ,3.92
2022340104029,0.26,95 ,87 ,95 ,95 ,94 ,,93 ,84 ,80 ,89 ,3.49
2022340101003,0.06,95 ,86 ,87 ,95 ,82 ,87 ,85 ,88 ,90 ,88 ,3.97
2022340105022,0.83,91 ,89 ,84 ,96 ,93 ,88 ,95 ,82 ,84 ,89 ,3.95
2022340107009,0.29,77 ,77 ,95 ,92 ,93 ,91 ,95 ,93 ,92 ,83 ,3.85
2022340106025,0.49,86 ,89 ,86 ,88 ,92 ,85 ,91 ,88 ,91 ,89 ,4
2022340102030,0.28,92 ,92 ,88 ,91 ,92 ,86 ,97 ,81 ,83 ,85 ,3.94
2022340104004,0.03,80 ,96 ,89 ,91 ,91 ,85 ,93 ,87 ,79 ,93 ,3.89
2022340102014,0.42,85 ,88 ,87 ,90 ,91 ,85 ,95 ,89 ,84 ,82 ,3.96
2022340108004,0.74,95 ,92 ,88 ,92 ,82 ,77 ,93 ,90 ,93 ,84 ,3.87
2022340102023,0.6,84 ,90 ,77 ,93 ,94 ,91 ,95 ,84 ,88 ,89 ,3.92
2022340105021,0.34,84 ,80 ,87 ,93 ,88 ,88 ,90 ,93 ,97 ,90 ,3.96
2022340104001,0.34,83 ,87 ,87 ,95 ,83 ,84 ,94 ,82 ,91 ,85 ,3.92
2022091603014,0.96,90 ,73 ,96 ,93 ,89 ,77 ,95 ,97 ,92 ,80 ,3.78
2022340101030,0.29,88 ,79 ,85 ,94 ,93 ,82 ,87 ,91 ,87 ,81 ,3.89
2022340103024,0.12,94 ,81 ,93 ,89 ,90 ,87 ,98 ,86 ,97 ,80 ,3.93
2022340101001,0.92,90 ,85 ,91 ,84 ,94 ,86 ,94 ,95 ,84 ,79 ,3.92
2022340103013,0.29,78 ,84 ,83 ,95 ,88 ,83 ,96 ,82 ,89 ,91 ,3.86
2022340102029,0.98,91 ,82 ,86 ,94 ,84 ,88 ,90 ,93 ,83 ,83 ,3.93
2022340102028,0.09,90 ,80 ,87 ,93 ,90 ,74 ,87 ,89 ,92 ,88 ,3.84
2022340104008,0.39,88 ,87 ,83 ,93 ,81 ,95 ,92 ,84 ,81 ,86 ,3.89
2022340108031,0.71,83 ,90 ,90 ,93 ,90 ,83 ,85 ,87 ,88 ,92 ,3.96
2022340103018,0.83,85 ,88 ,82 ,91 ,89 ,84 ,93 ,87 ,91 ,86 ,3.96
2022340106017,0.81,74 ,86 ,83 ,94 ,81 ,90 ,91 ,90 ,97 ,85 ,3.84
2022091601004,0.74,89 ,88 ,90 ,82 ,85 ,86 ,98 ,88 ,77 ,80 ,3.83
2022340105028,0.35,82 ,79 ,87 ,93 ,93 ,94 ,88 ,92 ,99 ,87 ,3.93
2022340103029,0.05,91 ,85 ,90 ,86 ,94 ,77 ,96 ,89 ,88 ,82 ,3.88
2022340105019,0.27,92 ,87 ,89 ,94 ,90 ,87 ,94 ,90 ,97 ,86 ,4
2022340107007,0.3,73 ,85 ,84 ,94 ,88 ,80 ,90 ,87 ,91 ,86 ,3.83
2022340105034,0.03,85 ,87 ,85 ,95 ,82 ,78 ,94 ,90 ,95 ,87 ,3.89
2022340102021,0.95,84 ,89 ,94 ,96 ,94 ,83 ,90 ,91 ,95 ,80 ,3.92
2022340108003,0.67,85 ,85 ,93 ,89 ,89 ,87 ,91 ,87 ,83 ,86 ,3.98
2022340104007,0.42,99 ,82 ,90 ,93 ,90 ,78 ,96 ,92 ,95 ,83 ,3.88
2022340102004,0.82,93 ,86 ,83 ,88 ,66 ,85 ,80 ,81 ,88 ,85 ,3.68
2022340106011,0.59,81 ,81 ,90 ,92 ,94 ,71 ,89 ,89 ,93 ,87 ,3.78
2022340103030,0.82,90 ,82 ,84 ,90 ,73 ,81 ,86 ,84 ,91 ,82 ,3.75
2022091603006,0.68,80 ,91 ,88 ,92 ,87 ,87 ,95 ,90 ,80 ,86 ,3.9
2022340106028,0.04,76 ,83 ,82 ,84 ,94 ,85 ,88 ,84 ,89 ,87 ,3.86
2022340107012,0.5,73 ,88 ,88 ,87 ,88 ,88 ,95 ,88 ,89 ,92 ,3.89
2022340106015,0.62,73 ,81 ,86 ,86 ,84 ,88 ,88 ,79 ,92 ,90 ,3.8
2022340101024,0.42,80 ,84 ,77 ,91 ,78 ,83 ,98 ,85 ,94 ,74 ,3.68
2022340103022,0.38,84 ,78 ,90 ,96 ,76 ,75 ,94 ,88 ,86 ,87 ,3.73
2022340107025,0.52,75 ,84 ,80 ,92 ,77 ,94 ,86 ,85 ,85 ,82 ,3.74
2022340106004,0.29,83 ,86 ,87 ,89 ,78 ,80 ,85 ,93 ,91 ,83 ,3.83
2022340107018,0.59,73 ,83 ,86 ,86 ,73 ,84 ,83 ,90 ,91 ,84 ,3.7
2022340106002,0.7,70 ,77 ,88 ,85 ,87 ,87 ,89 ,81 ,94 ,89 ,3.77
2022340108018,0.92,78 ,79 ,86 ,89 ,96 ,81 ,95 ,90 ,67 ,85 ,3.67
2022340108020,0.33,78 ,88 ,78 ,90 ,92 ,82 ,92 ,81 ,80 ,93 ,3.76
2022340106029,0.79,70 ,81 ,86 ,87 ,91 ,85 ,91 ,83 ,77 ,86 ,3.74
2022340101002,0.25,87 ,89 ,82 ,87 ,88 ,84 ,92 ,87 ,85 ,78 ,3.9
2022340101032,0.91,92 ,89 ,77 ,93 ,74 ,81 ,91 ,81 ,82 ,78 ,3.64
2022340106009,0.36,68 ,86 ,83 ,90 ,85 ,87 ,80 ,87 ,83 ,89 ,3.75
2022340102015,0.34,87 ,80 ,94 ,95 ,91 ,89 ,89 ,92 ,91 ,85 ,3.97
2022340108023,0.65,82 ,82 ,87 ,90 ,83 ,80 ,91 ,91 ,85 ,86 ,3.87
2022340108017,0.47,75 ,90 ,85 ,91 ,86 ,63 ,93 ,86 ,86 ,90 ,3.66
2022340104022,0.89,94 ,82 ,87 ,92 ,84 ,77 ,89 ,91 ,79 ,81 ,3.78
2022340104005,0.1,87 ,84 ,76 ,91 ,85 ,81 ,87 ,83 ,93 ,89 ,3.86
2022340107003,0.46,73 ,87 ,79 ,84 ,76 ,86 ,81 ,83 ,87 ,89 ,3.66
2022340101010,0.68,76 ,78 ,89 ,89 ,88 ,84 ,94 ,89 ,85 ,87 ,3.86
2022340106007,0.03,91 ,83 ,82 ,87 ,89 ,81 ,91 ,90 ,79 ,87 ,3.86
2022340102011,0.9,74 ,87 ,77 ,90 ,87 ,85 ,86 ,81 ,80 ,85 ,3.75
2022340105013,0.9,92 ,79 ,85 ,91 ,80 ,81 ,89 ,87 ,95 ,83 ,3.84
2022340104031,0.95,94 ,86 ,88 ,36 ,89 ,88 ,98 ,91 ,94 ,85 ,3.45
2022340108032,0.51,77 ,79 ,83 ,88 ,99 ,55 ,92 ,75 ,78 ,87 ,3.25
2022340101034,0.99,82 ,88 ,85 ,78 ,74 ,91 ,85 ,83 ,75 ,88 ,3.63
2022340108021,0.94,88 ,84 ,88 ,89 ,95 ,78 ,94 ,81 ,97 ,84 ,3.87
2022340108006,0.59,87 ,85 ,80 ,90 ,82 ,77 ,89 ,70 ,85 ,84 ,3.69
2022340104020,0.99,90 ,86 ,84 ,92 ,84 ,77 ,87 ,76 ,76 ,81 ,3.68
2022340108014,0.74,75 ,71 ,75 ,85 ,93 ,78 ,92 ,71 ,90 ,85 ,3.53
2022340104025,0.13,84 ,73 ,84 ,92 ,77 ,83 ,92 ,80 ,86 ,83 ,3.72
2022340105005,0.52,90 ,86 ,85 ,88 ,93 ,75 ,92 ,85 ,93 ,86 ,3.89
2022340102019,0.83,81 ,89 ,80 ,74 ,45 ,83 ,87 ,74 ,83 ,85 ,3.18
2022340103004,1,90 ,75 ,91 ,87 ,78 ,76 ,81 ,81 ,94 ,81 ,3.63
2022340104010,0.1,74 ,75 ,83 ,88 ,80 ,84 ,91 ,83 ,86 ,82 ,3.7
2022340103032,0.76,96 ,77 ,80 ,94 ,89 ,67 ,93 ,81 ,80 ,77 ,3.54
2022340104026,0.36,76 ,87 ,81 ,95 ,84 ,72 ,79 ,80 ,76 ,91 ,3.52
2022340101006,0.41,82 ,79 ,87 ,89 ,92 ,73 ,93 ,90 ,92 ,73 ,3.69
2022340101021,0.76,84 ,88 ,83 ,90 ,90 ,75 ,93 ,79 ,83 ,80 ,3.74
2022340104018,0.03,88 ,88 ,80 ,92 ,92 ,79 ,81 ,83 ,90 ,81 ,3.79
2022340103014,0.01,82 ,79 ,94 ,93 ,87 ,85 ,94 ,80 ,92 ,81 ,3.85
2022340104019,0.84,86 ,92 ,81 ,95 ,83 ,71 ,84 ,74 ,86 ,85 ,3.68
2022340101015,0.52,83 ,88 ,84 ,93 ,94 ,64 ,94 ,93 ,79 ,85 ,3.67
2022340104023,0.9,82 ,85 ,77 ,92 ,78 ,81 ,85 ,83 ,87 ,85 ,3.77
2022340107028,0.91,82 ,78 ,88 ,82 ,94 ,75 ,92 ,83 ,91 ,82 ,3.73
2022340104021,0.97,77 ,83 ,86 ,81 ,80 ,82 ,78 ,76 ,90 ,83 ,3.59
2022340105012,0.51,81 ,88 ,78 ,91 ,93 ,68 ,92 ,72 ,85 ,89 ,3.6
2022340104002,0.8,92 ,75 ,84 ,96 ,95 ,69 ,87 ,87 ,84 ,77 ,3.66
2022340108016,0.81,78 ,87 ,82 ,87 ,81 ,64 ,81 ,79 ,82 ,83 ,3.48
2022340102034,0.28,89 ,68 ,86 ,91 ,75 ,80 ,93 ,81 ,66 ,86 ,3.48
2022340105025,0.59,85 ,85 ,78 ,86 ,81 ,70 ,82 ,76 ,81 ,89 ,3.57
2022340107010,0.23,74 ,85 ,79 ,90 ,82 ,73 ,84 ,74 ,87 ,87 ,3.57
2022340101004,0.81,72 ,82 ,77 ,76 ,71 ,79 ,86 ,76 ,89 ,81 ,3.33
2022090915010,0.7,85 ,88 ,83 ,87 ,84 ,90 ,90 ,83 ,78 ,85 ,3.88
2022340108028,0.28,62 ,82 ,83 ,79 ,81 ,88 ,88 ,79 ,85 ,89 ,3.57
2022340103026,0.25,77 ,82 ,79 ,82 ,87 ,72 ,84 ,71 ,79 ,85 ,3.47
2022340105020,0.37,59 ,85 ,75 ,85 ,78 ,78 ,85 ,71 ,74 ,90 ,3.16
2022340108011,0.14,72 ,85 ,86 ,93 ,81 ,69 ,89 ,86 ,87 ,85 ,3.65
2022340101029,0.88,76 ,69 ,80 ,89 ,87 ,78 ,86 ,84 ,85 ,79 ,3.63
2022340106001,0.33,60 ,86 ,80 ,79 ,81 ,87 ,74 ,83 ,86 ,88 ,3.46
2022340107006,0.3,78 ,81 ,89 ,92 ,78 ,70 ,82 ,73 ,86 ,82 ,3.49
2022340102010,0.05,82 ,81 ,84 ,87 ,71 ,83 ,84 ,90 ,91 ,74 ,3.64
2022340102003,0.58,82 ,88 ,77 ,72 ,80 ,80 ,90 ,80 ,75 ,80 ,3.43
2022340103006,0.53,80 ,76 ,87 ,86 ,81 ,82 ,89 ,78 ,70 ,80 ,3.55
2022340106018,0.2,74 ,69 ,82 ,86 ,89 ,74 ,86 ,84 ,87 ,82 ,3.61
2022340104024,0.21,85 ,89 ,70 ,89 ,82 ,77 ,87 ,70 ,75 ,81 ,3.48
2022340101027,0.13,85 ,75 ,87 ,87 ,82 ,66 ,87 ,77 ,93 ,77 ,3.54
2022090904020,0.87,86 ,85 ,85 ,82 ,74 ,79 ,86 ,81 ,85 ,81 ,3.69
2022340101025,0.83,77 ,92 ,78 ,77 ,90 ,62 ,87 ,88 ,72 ,82 ,3.34
